,text
8256, Mba / bba / mcom / bsc / ba/ ma / bbm / bca / Bcom- Freshers Mba| Finance| Accounting| Financial Statements| mcom| bba| bcom| bbm| ba| bsc| be| btech| management trainee| finance executive| bca| accounts
8257, Ambassador Coach Customer service| Management| Negotiation skills| Business modeling| Strong analytical skills| Business Executive| Training| Productivity| level| Coach
8258, Sr.Lecturer Help Desk| Customer Service| data analysis| customer relationship
8259, Opening For Telecallers Customer Relationship| Customer Support| Customer Care Executive| english| Call Center Executive
8260, Experienced SEO/SEM PHP| HTML| Drupal| CMS| SEM| Link building| On-page optimization| SEO writing| Business Executive| CakePHP
8261," ND Global Solutions, Professional Recruitment Services C++| Application development| UX| Staffing| Business excellence| Service delivery| Windows application| Recruitment| Business Executive| Programming"
8262, Manager Finance : Chennai working capital management| finance function| treasury| CMA data| cash flow| cfo| budgeting
8263, Assistant Professor- CS Professor| Tutor| Teachers| Trainer| Lecturer| Teaching
8264, Looking for Marketing Executive Marketing| Direct Marketing| market research| customer profiling| sales executive| marketing executive| distributors| Business Development| sales strategy
8265, Dot net Lead Developer MS SQL| Networking| Strong analytical skills| Process improvement| Written communication| Service| Application development| Scrum| microsoft| Business solutions
8266, Insides Sales Executive sales executive activities| lead generation| cold calling| business development| sales| b2b sales| IT Hardware Sales
8268," Urgent Required Equity Sales -finance Company -mumbai (lower Parel), brokerage| BD| cold calling| business services| Corporate| business development| equity| sales| securities| equity sales| Lead Generation| Institutional| client acquisition"
8269, Senior Process Executive | Insurance Backend Operations
8270, Cloud Engineer Automation| operational support| Version control| GIT| Powershell| Project management| Configuration management| JSON| Troubleshooting| Python
8271, Opening For Customer Relationship Manager @kotak Life in Mumbai Retail Business| Customer Relationship| Life Insurance| Excel Powerpoint| Analytical Skills| Relationship Management| New Business Development| CRM
8272, Fashion Designing- Instructor Counselor| Mentor| Trainer| Advisor| Teaching
8273, Big Data Developer / Big Data Lead Developer /Big Data Architect Apache| Linux| PHP| development| technical| software| Social media| developing| HBase| nosql| cloud| scripting| project support| RDBMS| design| developer| hadoop| Open source| Ruby| Pentaho| support| architecture| applications| hardware
8276, Principal Product Security Engineer C++| Tomcat| Linux| JBoss| Weblogic| Agile| Information technology| SDLC| Android| Python
8277, Sales Manager - Govt./ Enterprise ( Call Center Products ) Direct Sales| Sales Account| Technical sales| Sales Development| Enterprise Sales
8278," Hurry Up, Openings For L2 Level With Day Shith Semi Voice| Voice Process"
8280, Electrical Technician Preventive maintenance| Telecommunication| Electricals| Business Executive| Electrical installation| Troubleshooting| Foreman| Infrastructure| Technical| Education
8281, Php developer Javascript| PHP| SQL| human capital| jQuery| Linux| XML| MySQL| HTML| Open source
8282, Senior Sales/sales Officer - CASA Sales_hyderabad Saving Account| Sales| Casa| marketing executive| Sales Executive| Current Account| Sales Officer
8283, Junior System Engineer LAN| Troubleshooting| Technical support| WAN| microsoft| IT operations| N+| Remote support| Monitoring| Firewall
8284, On - line Executive Social media marketing| Outbound| Public relations| Email marketing| Online marketing| Marketing campaigns| HTML| Link building| Brand building| Search engine optimization
8285, Sales Manager Sales strategy| Business Associate| Sales planning| Networking| Service industry| IT skills| Strategic planning| After sales support| Territory management| Business operations
8286, India's Biggest Pharma Company Hiring for MR !!! Banglore/ Cochin Territory Sales| Critical Care| Pulmonology| Nephrology| Neurology| Oncology| Rheumatology| Institutional Sales| Anesthesia| Gastroenterology| Gastro
8287, purchase executive work order| procurement| forecasting| consumables| harness| purchase order| co| sourcing| events
8288, Program Manager Agile| Agile methodology| JIRA| Manager Program Management| Management| Mentor| Focus| Monitoring
8289, Sr.JAVA Developer Web application development| Hibernate| Core Java| ISO| Node JS| PHP| Struts| HTTP| J2Ee
8290, INSIDE SALES MANAGER Consulting| Monitoring| Inside sales| Customer satisfaction| Sales administration| Material sourcing| Incharge| Sales strategy| Management
8291, Graphic Designer (immediate Joiners Preferred) art| graphic designing| photoshop| graphics| corel draw| illustrator
8292, Services Resident Engineer Networking| Linux| GSM| Troubleshooting| Customer support| Unix| Cdma| 3G| GPRS| DHCP
8293, Data Quality Profiling - Associate Excel| Data management| EMEA| Project management| Data quality| Application development| Informatica| SQL| Cdo| data profiling
8294, Oracle Web center Oracle| Web technologies
8295, Looking for H1-B Visa Stamped Engineers Passport| Visa
8296, Admin Executive Admin Executive
8297, Digital Marketing Executive Immediate Hiring SEO Analysis| digital sales| advertisement sales| Youtube| Google AdWords| Digital Marketing| SEM| Facebook Marketing| SEO
8298, Search Engine Optimization Online marketing| Internet marketing| Orientation| Search engine optimization| life| WHO
8299, Informatica Developer Root Cause Analysis| Informatica Power Center| Data Analysis| Team Motivation| Data Warehousing| Data Modeling| ETL| Performance Tuning| Verbal Communication| SQL
8300, Associate Product Owner Analytical| Relationship building| Computer science| Project delivery| Tools| Algorithms| UX| Client communication| Associate| Building
8301, Full Stack PHP Developer Angularjs| cakephp| css| python| wordpress| Zend| Laravel| Codeigniter| Magento| Yii| php| html| React.Js
8302, Immediate Opening For SAP Co-cmmi Level 5 Company-bangalore sap controlling| sap co
8303, Lead Software Engineer Automation| Semiconductor| Front end| EDA tools| Eclipse| Intellectual property| Hardware
8304, MBBS Doctors mbbs doctor| Resident Medical Officer
8305, Graphics Designer Graphics| Web technologies| Illustrator| Illustration| Social media| Tool design| Photoshop| Print media| Operations| Fine arts
8306, B2C Voice Process ( UK Shift) - Urgent Requirement Telecom| Comp| Outbound process| Voice process| Target| Presentable| Bonus| Typing| Spot| B2C
8307, Interior Designer interior designing| Photoshop| Detail Drawings
8308, Network Engineer development| mpls vpn| operating system| l2| documentation| preventive maintenance| troubleshooting| bgp| tools| igrp
8309, Non IT Recruiter non it recruitment| telecalling| Tele Caller| birla sun life| aviva
8311, Urgent Opening for Technical Recruiters- US Staffing project management| us it recruitment| technical recruitment| us staffing| staff augmentation
8312, SAP SD with S4 HANA Professional Master Data| Sales Order Processing| SAP SD| Organization Structure| Business Process| User Exits| Invoice Processing| Project Implementation
8313, Be a Risk Analyst_pune Data Quality| Analytical Skills| Negotiation Skills| Finance| Banking| Strong Communication Skills| Interpersonal Skills
8314,KGS :: CH :: Analyst - Resource Management ::Operations|Resource management|BIOS|Pathway|SUB|Management reporting|Advanced Excel|Senior Analyst|Production|Database
8316, Project Manager Civil & Mechanical Civil Project Management| Construction Management| Project Tracking| Project Planning| Project Monitoring| Project Coordination| Execution| Construction Documentation| Resource Management| Primavera
8317, Exciting Opportunity for Sr .Net Developers MVC| C#| ASP.Net| C#.Net| SQL Server| SQL| Entity Framework| LINQ| Dot Net Developer| ASP.NET Developer| .Net| Senior .Net Developer
8318, Specialist - HR Operations (payroll Management and HR MIS) hr operations| payroll processing| salary| Leave Management| Statutory Compliance| Payroll Management
8319, Virtualization Server Automation Engineer- Hyderabad powerShell| virtualization| server automation
8321, Chartered Accountant (Sr Manager/dgm - Accounts) Accounting Standards| Corporate Finance| Taxation| Auditing| Accounts Finalisation| Income Tax| Factory Accounts| Payables| Tax Audit| Returns| Chartered Accountant
8322, C-programming _ Corporate Trainer programming| c| Trainer| Corporate Trainer| Freelancing
8323, Executive Briefing Program Computer science| Linux| Coding| Machine learning| Agile| Data structures| HTML| Scrum| SDLC| SQL
8324, Technical Product Manager - It/tech Services SaaS| Agile| Product Manager| SAS| SPSS| Informatica| Tableau
8325, Managing- Business Partner-Life Insurance - Pune Business Generation| Life Insurance| Associate Partner| Distribution| Territory| Sales| Channel Sales| Channel Development| BA| Business Associates| Agency| Tied
8326, MTS Embedded Development C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems
8327, Content Writer Drupal| Manual testing| Debugging| Consulting| Performance testing| HTML| Selenium| Test cases| microsoft| Open source
8328, Product Manager /Program Manager Academics Analytical skills| E-learning| Operations management| Management consulting| Marketing operations| Digital marketing| Business solutions
8330, B2B / B2C / DSA / Education Sales (salary upto 6 LPA) educational sales| b2b| marketing| direct sales| bdm| mba| field sales| Sales| Counselling| Trainee| consultant
8331, Full time / part time Counsellors & Faculty Computer science| Communication engineering| Mechanical engineering| Teaching
8332, Collect your Offer Letter from Leading Bank!!!Reply Immediately Home Loans| Mortgage Loans| Housing Loans
8333, Channel Development Executive Channel Development Executive
8334," Opening For Google B2B Profile In (cognizant ,fis,wns,accenture) 32k accenture| dell| hcl| wipro| teleperformance| encore| british telecom| british airways| american express| exl| wns| sitel| google| blended process| sales| technical support"
8335, Executive/Sr. Executive- Capital Purchase Capital Purchase| New Vendor Development| Negotiation| Purchase Order| Vendor Management| MRO
8336, Mechanical /automobile Engineer walk in Interview Available on Urgent Automobile Engineering| Production| Quality control| Trainee Engineer| Maintenance| Assembly
8337, Opening for Network Data & Security for Noida_Contract Position Check Point| Cisco| Palo Alto
8338, Sales Executive mba| events| brand building| ms office| diploma| marketing| promotions| e mails
8339, PHP Developer CSS| jQuery| Javascript| PHP| Codeigniter| Ajax
8340, Xamarin Developer xamarin| xamarin.forms| xamarin.android| xamarin.ios| dot net
8341,Gdc-senior Associate Qlikview D&A TeamQlikView|Data analysis|ERP|SCM|Quality audit|Data extraction|Computer science|External audit|data visualization|Data analytics
8342, React Developer FTP| Workflow| Troubleshooting| server| interfaces| level| Debugging| developing| JSON| scripting| application| service| Cloud| Application security| api| AWS| Python| applications
8343, Graphic Designer Web designing| Photoshop| HTML| Illustrator| XHTML| Adobe| XML| People management skills| Information architecture| Tool design
8344," Looking For IT Recruiter Staying in Whitefiled, Bangalore resourcing| contract staffing| hiring| sourcing| staffing| it hiring| it recruitment| technical recruiter| recruitment| it staffing| permanent staffing| it recruiter"
8345, Sr Executive -UK/US Shift Inbound Tech Support Outbound| Antivirus| Technical support| process| Sales| Senior Executive| Inbound calls| US shift| Medical| Comp
8346," Engineer, Business Intelligence business intelligence| bi| bi developer| power bi| etl| ssrs| ssis| sql server| hadoop| apache| data warehousing"
8347,Require: Legal Manager | IIFL Home Loans | Gurgaonlegal management|civil law|vetting|property laws|title search|due diligence|home loans|branch management|go getter|vendor management|business legal|intellectual property|business law
8348, Brand Executive / Manager Gateway Group Social media| Market analysis| Logistics| Automotive| Global marketing| French| Monitoring| Software services| Stakeholder management| Business transformation
8349,Microsoft SQL Server Professionalconfiguration management|database design|database management|data - warehousing|ETL processing|ms sql server|management systems|SQL server
8350,ERP Lead Consultantjava|soap|rest|axis|xslt|sap pi|sap netweaver|consultant|SAP ABAP
8352, Receptionist Front Office| Facilities
8353, QC Chemist quality assurance| chemist
8354, Full stack Developer - Fresher Backend| Architecture| Translation| Scalability| Programming
8355, Senior Sales Manager / Business Development Manager in Noida senior sales executive| assistant manager| Assistant General Manager| General Manager| business development manager| Assistant Sales Manager| sr. sales manager
8356, Associate Software Engineer - C/c++ C| C++| Programming| Debugging
8357, Business Development Manager @ Whiskers (Bangalore - Facility Mgt) business development management| facility management| Sales| Cold Calling| Database Management
8358, Hiring For International Web Selling Process English| process| Night shift| Customer Care Executive| Web technologies| Outbound process| Education| Packaging| Time| International BPO
8359, Direct Walk In Interviews For Customer Care-day Shifts-hr Simran bpo| telecaller| csr| cce| customer service| customer care| call center| Inbound| customer support| Outbound| fresher| voice process| cse| Telecalling| Domestic BPO
8360, Web Designer and Developer Javascript| HTML| jQuery| Content management| Front end| Illustrator| Visual Design| Search engine optimization| Analytical skills| Management systems
8361, Regional Manager - Credit Operations/Senior Regional Manager Process improvement| Costing| Inventory reconciliation| Credit operations| Inventory management| Loan operations| Conceptualization| Management| Servicing| Cost
8362, Job Opportunity For Bluetooth Test @ Bangalore Automation| bluetooth| Framework
8364, Dot Net Developer - C#/asp/sql Server .Net| C#| ASP| SQL Server| WCF| Entity Framework| React.js| MVC| Dot Net Developer
8365, Angularjs Lead Automation| jQuery| Production support| Operations improvement| Configuration management| MySQL| Javascript| PHP| JSON| MVC
8366, Telephonic Interviews For Top Bpo's with Fixed Shifts. Sal upto 50k. BPO| Customer Service| Bpo Non Voice| Chat Process| CSE| IBM| UK| Technical Support| WIPRO| US| SERCO| CSR| CCE| LOOKING| TSE| Voice Process| CCO| Freshers| VOICE| Call Centre| Australian| cso
8367, Clinical Associate - Radiology mbbs| dnb| md| Radiology| DMRD| radiologist| radio diagnosis
8368, Chartered Accountant - Statutory Audit/Tax Audit Assurance| Due diligence| Accounting| Taxation| Tax audit
8369, Exciting Opportunity | Mobile Backend Developer | Pune Object Oriented Programming| Groovy| Grails| RDBMS| MySQL| Postgres| NoSQL| MongoDB
8370, Sales Marketing jobs Automobile sales| Telecom| Real estate sales| Healthcare| FMCG| Customer service| Food processing
8371, Process R&d-uppal process development
8372, Radiologist mammography| mri| radio diagnosis| usg| doppler| radiography| colour doppler| color doppler| x - ray| ultrasound| medical imaging| ct scan
8373, Wealth Manager Wealth Management| Sales| New Client Acquisition| Private Banking| Mutual Funds| Finance| Customer Marketing| Business Development| Wealth Manager| Structured Products| Investment Products
8374, Chartered Accountant/ Accountant accountant| chartered accountant
8375, .Net Developer - Vb/c#/apache C#| WPF| Javascript| Windows Presentation Foundation| Winforms| CSS| .Net| HTML| VB.NET| Java
8376, CCE / CCO / TSE / Outbound Lead Generation (US Shift) international sales| bpo| call centre| csr| cce| customer service| tse| customer care| cco| customer support| tsr| cse| lead generation| international marketing
8377, Online Media Planner Tracking| Online media| Negotiation skills| Media planning| Negotiation| Support| Compliance| Budgeting| Writing| Agency
8378, Oracle Plsql Views| Unit Testing| Oracle SQL| Stored Procedures| Problem Solving| Technical Design| PLSQL| SQL Server| Oracle PL| Server Side
8379, Network-Security Engineer microsoft| Testing tools| Network security| Cloud computing| Penetration testing| Vulnerability assessment| Email| CV| Networking| data services
8380, Tech Lead Technical Lead| .Net| MVC
8381, Business Development Junior Manager Operations research| Usage| Interpersonal skills| Networking| Simulation| Business Development Manager| Statistics| Cost
8382, Full Chip Floor Planning Lead Manual| Scripting
8383, Technical Sales Executive/ 5 day/ both side cab/ Gurgaon/ international bpo| inbound process| technical sales| international call center| sales| inside sales| it sales| cold calling| lead generation| B2B Sales
8384, Field Sales Associate For Education Sector- Fresher & Exp Apply marketing| education sales| freshers| Field Sales| business development| sales associate| mba| sales| direct sales
8385, Hiring For Google Blended B2B Profile +both Side Cab Salary 4.5lakh google| accenture| adwords| teleperformance| tcs| fresher| bba| bca| bhm| travel| british airways| wns| wipro| barclays| rbs| non voice| blended| finance| airlines| hotel| b.tech| international bpo| mba| dell| ibm| hcl
8386, Senior Software Engg - Systems Unix| BPO| Hibernate| Core Java| JSP| J2Ee| MVC| Unit testing| infrastructure services| Ajax
8387, Graphic Designer Graphic Designing| Brochures| Banners| Video Editing| Graphics| Social Media| Google Sketchup| Photoshop| Corel Draw| indesign| Adobe Premiere Pro| Infographics
8388, Shopify Developer Magento| Shopify| Woocommerce
8389, Recruitment Executive(6 Months Contract- Renewable/convertible) it hiring| it recruitment| technical recruitment| recruitment| recruiter| technical hiring| tech recruiter
8390,Job Descriptionbpo|good communication|voice process|hindi english
8391, Hiring For L2/L3 Protocol Test Engineer with R&D Company at Chennai TCP| Automation| IXIA| Spirent| L2| L3| IP| System Testing| SSL| Performance Test| Python
8392, Senior Developer- Digital Supply Chain Logistics Product Development| Sap Is| Contract Management| Abap Objects| Product Quality| Quality Management| Warehouse Management| Supply Chain| Transport Management| Logistics
8393, Grab the Opportunity For the Position of Office Manager in Chennai Receptionist| Ticketing| secretary| Personal Assistance| front office| Receptionist Activities| hotel booking| international ticketing| Office Management| Travel Booking
8394, Telecaller (outbound sales) Mutual funds sales| Sales Representative| ERP system| Mutual funds| Focus| Outbound sales| Phone banking| Relationship
8395, Virtual Assistant / Secretary - Night Shift Data entry| Administration| Scheduling| Internet research| Proof reading| Data processing| Assistant Secretary| Powerpoint| Management| Excel
8397,Senior Technical WriterTechnical writing|XML|Networking|SAN|Agile|Virtualization|Product management|JIRA|Computer science|Project management
8398, CEO Media Business @ Gurgaon Entertainment| Event Management| branding| Business Operations| Content Strategy
8399, Business Development Executive Tele Sales Executive| Telesales| Business Development Executive| sales executive
8400, Sales Engineer / Executive Sales| Mechanical| Research| MS Office| Machinery| Product marketing| Marketing strategy| Electricals
8401, Trainer Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management
8402, Manager - Fraud Investigator - Mumbai (bkc) Accounting| Chartered Accountant| Information System| Forensics
8403, Manager - Fraud Prevention Strategy - Financial Services Statistics| Statistical Modeling| Predictive Modeling| SAS| SQL| Python| Tableau| Fraud Analytics| Consulting
8404, BPO - Chat Process - Backend - 4LPA - Non Voice - Call Now chat process| TCS| web chat| teleperformance| chat support| hcl| british telecom| bt| exl| non voice| Cvent| Cognizant| non voice process| wipro| live chat| dell| amazon| ibm| accenture| wns
8405, Purchase Cum Sales Coordinator Purchase Coordinator| Excel| Sales Coordinator| Sales Executive
8406, Online Tutor - Physics Solving Queries| Mentor| Physics| Teaching| content development| School| Tutoring| Education| College| content writing| Night Shift
8407, Senior Software Engineer - iOS Computer science| C++| Software design| Cocoa touch| Senior| Software| SDK| software quality| IOS| Android
8408, Team Lead - Operations Business process| IT services| Career development| Automation| Technology management| data services| Data management| Consulting| MS Office Word
8409, Trainer- UK Accounting & Taxation Training| Management Accounting| trainer| Accounting Software| Quick Books| Book Keeping| Senior Management| training manager| Taxation| Myob| corporate trainer
8410, Ruby on Rails Developer jQuery| MySQL| MVC| Computer science| Cloud computing| Web technologies| Web services| rackspace| Ruby on rails| CSS3
8411, Software Engineer - IT SQL| Javascript| SEO| jQuery| Open source| Web development| Middleware| Database design| Information technology| Order management
8412, Role Designation - Technology Analyst / Technology Lead / Consultant Performance tuning| Oracle SQL| Db2| Database design| database security| Technology Lead| Database maintenance| Management| SyBase
8413, System Administrator Call Center Management| BPO| Inbound| Calling| DNS| Domestic| Outbound| Monitoring Tools| Google Apps| Load Balancing
8414," Area Business Manager, Area Business Manager| area sales manager| district sales manager| first line manager"
8415, Electrical Maintenance Engineer Housekeeping| Spare parts| Tracking| Schedule| Service| Instrumentation| Telecommunication| Electrical maintenance| Preventive maintenance| ITI
8416, Customer Care Executive Inbound Process| Communication Skills| voice based process| Calling| inbound| customer service| customer service executive| customer service representative| csr| Domestic Calling| Domestic BPO| call center executive| Inbound Calls| outbound calls
8417, Urgent Opening For B-tech Freshers -technical Sales(off Role) Sales| Technical Sales| Field Work| B2B Sales| Verbal Communication
8418, Partnerships Developer Direct sales| Solution sales| Sales| Networking| Sales forecasting| E-commerce| Account management| payment solutions| Forecasting| Salesforce
8419, Application Support Executive Networking| Application Software Support| Technical Support
8420, Application Architect : Blockchain Javascript| Node.Js| UI Development| Java| C| Docker| Technical Management| Solution Design| Creative Designing| Business Strategy| Application Architect
8421, Resource Executives (IT) Networking| LDAP| Network security| CCNA| Troubleshooting| IPS| SSL| Technical support| SQL| OSPF
8422, Google - Cognizant- Associate/ Analyst - Gurgaon BBA| BCOM| DPS| AMITY| communication skills| IP| FRESHER| DAV| SYMBIOSIS| BA
8424, NTT Teachers Counselor| Teaching| Mentor| Trainer| Advisor
8425, Project Coordinator project management| project documentation| scope| monitoring| project coordination| communication skills
8426, Interactive Voice Response System Telephone Voice Recording Telephone Telephone| Telecom| Service| Licensing| Monitoring| Cards| SMPS| TDM| ucs| Digital communication
8428, Civil Site Engineer civil projects| Construction Projects| Site Engineering
8429, Tibco MDM Tibco| MDM| Oracle| SQL| SQL Server| Java| J2Ee| Unix
8431, Urgent Hiring for Data Entry Operator Data Entry Operation| Typing| computer operator| back office| backend
8433, Instrumentation Design Engineer Gas| Oil| Instrumentation Design| Design Engineering| spi| intools| Smart Plant Instrumentation| smartplant
8434, Software Testing Software| Testing
8435, Automation SME Automation| Architecture| data security| Social media| Automation tools| Infrastructure| Vendor| Management| Troubleshooting
8436, PHP Developer Basic| CSS| jQuery| Front end| SQL database| MySQL| Javascript| HTML| Object oriented programming| Core PHP
8437, Senior Onboarding| Senior Analyst| Senior| Financial services| Back office| German| English| Spanish| Policies| Due diligence Senior
8438, domestic tour executive Equity| Service| Recruitment| English| Bengali| Domestic Tour Executive| Email| Tours| Doc
8439, Verification Engineer/ Lead/ Sr. Lead/ Manager axi| soc Verification| ovm| Verification| perl| system verilog| tcl| uvm
8441, BPO Call Center Job for 10&amp;12th/ B.tech/ BBA/ B.com/ BCA/ BA/ Fresher international bpo| call center| customer support| bpo fresher| international call center| non voice| backend| Fresher| undergraduate| customer care executive
8442, Graphic Designer Graphics| Illustrator| UX| Corporate identity| Medical Representative| Photoshop| Web technologiesUI| Website promotion
8443, Compliance Officer Compliance| Customer service| Analytical skills| Business Executive
8444, freshers Btech (Technical Trainer) Six Sigma| PMP| Python| assembly language| btech| JavaScript| .NET| HTML| Oracle| SQL
8445, International Voice Customer Service Openings in TOP BPO Companies bpo| voice| customer service associate| customer service executive| international bpo| call center| csa| technical support| fresher| cse| international call center| technical support associate| airlines| International Voice Process
8446, Project Lead - Open Source Front end| XML| MySQL| Javascript| PHP| HTML| Open source| Application| Facebook| Project Leader
8447, Salon Sales Head | Disruptive Wellness Products Company territory sales| Sales| lead generation| channel sales| client meeting| primary sales| Business Development| secondary sales| Corporate Sales| fmcg sales
8448, Manager / Senior Manager Design st| product| operations| function| senior manager| content| coordination
8449, Join With A Hike In International Inbound Tech (US Shift) Outbound| Customer service| Technical support| Sales| Technical| Inbound calls| US shift| Inbound voice process| Antivirus| Comp
8450, DIGITAL MARKETING EXECUTIVE PPC| Team management| Online marketing| SEM| SEO| Digital marketing| Facebook| Brand building| Analytics
8451, Jr . SEO Executive PDF| Competitive analysis| Research| SEO| Digital marketing| Statistics| Analytics| Monitoring| Off-page optimization
8452, Cashier  Cashier (PDN-943-N1C)
8453, Oracle APPS Technical (finance / SCM) HCM @ Pune / Ahmedabad sql| oracle apps technical| plsql| pl| scm
8454, Hiring for Full Stack Developer Java| Ruby| Javascript| Python| Microservices| Perl
8455, Software Developer-freshers algorithms| c++| c| mfc| serialization| database| design patterns| oops| vc++| multithreading
8457, marketing manager international business methanol industry International marketing| Logistics| Sales promotion| Analytical| Social media| English| Petroleum| CV| Email| Coke
8458, Regional Manager - Financial Services Job Credit Officers| Capital Advisors| Risk Management| Administration| Analysts| Report Generation| Mortgage Advisors| analytical skills
8459, Oracle Developer @ Pune Location Oracle Apex| Oracle SQL| PLSQL| Oracle Development| PL| Oracle Forms
8460, Weekends OFF + Fixed Shift + Pilot Process + Bonus + Bpo !call Ruchika customer service| international call center| voice process| inbound
8461, Host/Hostess Supervisor| Safety training| Programming| Management| Monitoring| MAR
8462, Senior Mechanical Design Engineer / Mechanical Design Manager Interpersonal skills| Costing| Bidding| AutoCAD| ASTM| Instrumentation| Mechanical design| Staad Pro| ANSI
8463, Team Leader - Pre Paid Cards KYC Compliance| Training| Team Leading| Performance Management
8464, PHP Developer mvc framework| laravel| php mysql| Symphony| codeigniter| Database| php| mysql| ajax| jquery| Ajax
8465, Group Brand Manager Group| Tracking| Monitor| Brand management| Media| Market research| FMCG| Image| Distribution system| Advertising
8466, Assistant Manager - Process Excellence - FMCG Process Excellence| Quality| Lean| Six Sigma| Blackbelt| Strategy| Change management| CAPEX
8467, Fresher - Pharma or Biology Pharmacy| Pharma
8468, Sales Manager - Food & Liquid Business-- Mumbai sales management| senior management| Liquid| b2b sales| Chemical| selling| negotiation skills| solution sales
8469, Technical Support Executive - Inbound Voice (UK/ US) tech support| BPO| voice| Help Desk| Customer Service| data analysis| customer relationship| cce| inbound| customer service| caller| technical support| voice process| access controls| outbound| uk| calling| non voice| us
8470, Opening For Analyst | Accounts | SAP | Bangalore SAP| Accounting| SAP MM Consultant
8471, Solution Architect - .net/wcf/wpf SOA| TOGAF| MSBI| SSIS| .Net| WCF| WPF| .Net Architect| Java| Solution Architect
8472," Senior Manager , Risk Governance Risk management| Logistics| Enterprise risk management| Printing| ERM| E-learning| Stakeholder management| Financial services| risk governance"
8473, ACCOUNT OFFICER - INSURANCE ACCOUNT OFFICER - INSURANCE
8474, B Com / M Com Fresher - F&A Analyst - Noida / Gurgaon - Join Imm. mcom| bcom| fresher| Commerce| Finance| Mba Finance Fresher| Mba Finance| icwa| icwa inter| cwa| ca
8475, Senior / CAD Techician-Civil CAD| Civil| HVAC| Project management| MEP| REVIT| Bim| 3D| Structural engineering| Design calculations
8476, Endpoint Security Engineer Security Planning| Solution Design| Crisis Management| Data Center| Network Infrastructure| Technical Documentation| Network Design| High Level Design| Business Process| Information Security
8477, Restraint Control ASIC Development Engineer Product Design| C| Training| Automotive Electronics| Functional Safety| Management Systems| Design Development| Electronic Circuit Design| Circuit Designing| Quality Management| ASIC| ASIC Design| Chip Design| Analog| Digital| microcontroller
8478, Customer Support / Tele Calling Customer support| Telecalling
8479, Walk in Interview For Executive - Logistics Material Management| logistic| Store Keeping| logistics management| transport management| logistics operations| logistics executive| Supply Chain Management| transportation
8480, Product consultant Training| Strong interpersonal skills| Time management| Tools| Issue resolution| Product implementation| Customer support| Customer service delivery| Software solutions| Testing
8481,Head Sales & BD- International Financial Servicesinternational sales|inside sales|bd|b2b|new business|lead generation|sales initiatives|business development
8482, Sales Executive - Retail Sector Cross selling| Wholesale| Retail sales| Sales Executive| Retail Executive| Retail business| Counter sales| Education
8483, Human Resource Consultants HR| Email| Manufacturing engineering| Associate| General Manager HR| Head Business Development
8484, Institutional Sales Manager || Retail co || Mumbai key account management| lead generation| Institutional Sales| B2B Sales| Business Development| corporate sales| Corporate Relationship Management| strategic planning
8485, Senior Full­Stack Software Engineer ­ Ads AutoCAD| CATIA| C++| Layout| PCB designing| Firmware| EMI| Prototype| Embedded software| SPI
8486, Software Engineers - J2EE java| struts| j2ee| com| bca| c| oracle| mca| it| oracle 9i| computer science| web| rational rose| software engineering
8487, Sr. Merchandiser (Ethnic Wear) Merchandising| Fashion Designing| Textile| Fashion Designer| Merchandisor
8488, SOA Developer oracle soa| soa
8489, Travel Sales Consultant Requried For UK Based Travel Company travel sales consultant| travel agency| sales consulting| travel sales| holiday packages| holidays| travel process| amadeus| hotel booking| uk process| reservation| tour packages
8490, Project Designers / Sr Project Designers ( TC ) Usage| AutoCAD| Database| UPS| Engineering Design
8491, Engineer or Sr Engineer - Sales project sales| sanitary ware| building material| plywood| facade| escalators| elevators| tiles| lifts| switchgear| cables| hvac
8492, Manager - Process Management - Leading Insurance Client - BPO| Process management| Operations| Automation| Lean six sigma| Standard operating procedures| Flex| Six sigma green belt| Process mapping| Quality analysis
8493, urgent Opening for Inbound Tech Executive......UK Shift Technical support| Outbound| Service| Comp| Technical Executive| Inbound calls| Target| process| Business Executive| Bonus
8494, Dot NET DEVELOPERS WPF| SQL| WCF| c#| bca| development| C| technical| Entity framework| Winform| mca| professional services| ASP.Net MVC| Analytical| design| asp.net| Software development life cycle| .net| mvc
8495, Android Application Developer _Noida c++| C| design| MySQL| JavaScript| HTML
8496, Customer Service Executive customer relation| inbound process| inbound calls| customer care| english| hindi| customer support
8497, Sales Executive/ Officer business development| merchandising| sales planning| brand management| sales retail| corporate sales| retail business| sales executive| marketing functions| channel development
8498, Bulk Hiring||travell Mnc international bpo| voice process| international voice process| customer service| us inbound| english| bulk hiring| Communication
8499, Required Sales Executive For Tours & Travel Business project management| project planning
8500, Administration Executive Office Skills| Communication Skills| Written Communication| MS Office| Administration
8501, Sr. Analyst -AM Finance & Business Management Team technology| finance| operations| human resources
8502, US IT Recruiters performance management| benefits| networking| dice| cold calling| h1b| portal| project management
8503, Associate - Sales - Watch Brand Sales| Retail Sales| Store Sales| Visual Merchandising| Cross Selling| Up Selling
8504, seeking jobs?come to Adeeba for Tech Support/sales(Voice Process) Outbound| Antivirus| Technical support| Voice process| Sales| Technical Support Executive| US shift| Inbound voice process| Customer Service Executive| Comp
